RankRank,Player NamePlayer,TeamTeam,SuccessfulSuccessful,ErrorsSE,AttemptsAttempts,Average per matchaverage-per-match,Success %Success %,TotalTA
1,Seki,JPN,460,7,888,30.67,33.95,1355
2,Zhang Z.X.,CHN,407,10,1006,31.31,28.6,1423
3,Van Aalen,NED,352,11,724,29.33,32.38,1087
4,Valkova,CZE,324,7,859,27.0,27.23,1190
5,G.Pornpun,THA,311,6,669,25.92,31.54,986
6,Wenerska,POL,299,5,712,19.93,29.43,1016
7,Straube,GER,285,11,854,21.92,24.78,1150
8,Macris,BRA,280,3,582,18.67,32.37,865
9,DAIN,KOR,277,7,823,25.18,25.02,1107
10,Van Sas,BEL,244,8,638,20.33,27.42,890
11,Danard Selosse,FRA,220,6,791,18.33,21.63,1017
12,Orro,ITA,216,1,554,19.64,28.02,771
13,Poulter,USA,189,1,272,27.0,40.91,462
14,Mirković,SRB,184,7,679,15.33,21.15,870
15,Kitipova,BUL,182,5,460,22.75,28.13,647
16,Roberta,BRA,163,2,375,10.87,30.19,540
17,Slavcheva,BUL,162,4,458,13.5,25.96,624
18,Özdemir,TUR,149,0,450,16.56,24.87,599
19,Pelland,CAN,148,7,519,12.33,21.96,674
20,A. Rodriguez,DOM,142,3,1009,11.83,12.31,1154
21,E. Şahin,TUR,138,2,292,11.5,31.94,432
22,Cambi,ITA,136,0,363,9.07,27.25,499
23,Ka'aha'aina-Torres,USA,129,2,443,14.33,22.47,574
24,Tsukasa,JPN,102,0,98,7.85,51.0,200
25,Grabka,POL,97,2,366,6.47,20.86,465
25,Nagels,BEL,97,3,281,8.08,25.46,381
26,J.Natthanicha,THA,91,2,245,7.58,26.92,338
27,Perović,SRB,90,4,303,9.0,22.67,397
28,Fairbanks,USA,78,0,115,13.0,40.41,193
29,Kästner,GER,70,0,107,17.5,39.55,177
30,Allard,CAN,66,5,276,8.25,19.02,347
31,Fransen,CAN,58,2,256,14.5,18.35,316
